,song,artist
196,Sucker,Jonas Brothers
197,Plug Walk,Rich The Kid
198,Love Yourself,Justin Bieber
199,Slippery,Migos
200,A Lot,21 Savage
201,Leave Me Alone,Flipp Dinero
202,Tequila,Dan + Shay
203,Exchange,Bryson Tiller
204,Heathens,Twenty One Pilots
205,Streets,Doja Cat
206,Last Christmas,Wham!
207,First Class,Jack Harlow
208,Trap Queen,Fetty Wap
209,Can'T Feel My Face,The Weeknd
210,Leave The Door Open,Bruno Mars
211,Roll In Peace,Kodak Black
212,Daddy Issues,The Neighbourhood
213,More Than My Hometown,Morgan Wallen
214,Wake Up In The Sky,Gucci Mane
215,Silence,Marshmello
216,It'S Beginning To Look A Lot Like Christmas,Michael Bublé
217,Girls Like You,Maroon 5
218,What Do You Mean?,Justin Bieber
219,Call Out My Name,The Weeknd
220,Electric Love,Børns
221,Let You Down,Nf
222,Work From Home,Fifth Harmony
223,Controlla,Drake
224,Chasin' You,Morgan Wallen
225,Santa Tell Me,Ariana Grande
226,Thinking Out Loud,Ed Sheeran
227,What You Know Bout Love,Pop Smoke
228,Noticed,Lil Mosey
229,I Took A Pill In Ibiza  Seeb Remix,Mike Posner
230,Perfect,Ed Sheeran
231,No Tears Left To Cry,Ariana Grande
232,No Problem,Chance The Rapper
233,Pure Water,Mustard
234,Speechless,Dan + Shay
235,Roses,The Chainsmokers
236,Talk,Khalid
237,Eazy  No Limit,G
238,X,21 Savage
239,Freaks,Surf Curse
240,Sorry Not Sorry,Demi Lovato
241,Bury A Friend,Billie Eilish
242,Tunnel Vision,Kodak Black
243,Sunday Best,Surfaces
244,2055,Sleepy Hallow
245,"10,000 Hours",Dan + Shay
246,Stir Fry,Migos
247,Look Back At It,A Boogie Wit Da Hoodie
248,Intentions,Justin Bieber
249,Go Flex,Post Malone
250,I Love You So,The Walters
251,Bad Habits,Ed Sheeran
252,Plain Jane,A$Ap Ferg
253,Pick It Up,Famous Dex
254,Lean On,Major Lazer
255,Cold Heart  Pnau Remix,Elton John
256,New Rules,Dua Lipa
257,Shivers,Ed Sheeran
258,The Spins,Mac Miller
259,Easy On Me,Adele
260,Positions,Ariana Grande
261,You Broke Me First,Tate Mcrae
262,Super Gremlin,Kodak Black
263,Panini,Lil Nas X
264,Way 2 Sexy,Drake
265,High Fashion,Roddy Ricch
266,I Don'T Care,Ed Sheeran
267,Ocean Eyes,Billie Eilish
268,See You Again,"Tyler, The Creator"
269,Walk It Talk It,Migos
270,Shallow,Lady Gaga
271,Jimmy Cooks,Drake
272,Say So,Doja Cat
273,679,Fetty Wap
274,Telepatía,Kali Uchis
275,Envy Me,Calboy
276,Ghost,Justin Bieber
277,Hello,Adele
278,Glimpse Of Us,Joji
279,A Holly Jolly Christmas  Single Version,Burl Ives
280,Issues,Julia Michaels
281,Running Up That Hill (A Deal With God),Kate Bush
282,Tshirt,Migos
283,Heartbreak Anniversary,Giveon
284,I Don’T Wanna Live Forever (Fifty Shades Darker),Zayn
285,Toosie Slide,Drake
286,Father Stretch My Hands Pt. 1,Kanye West
287,Stay,Zedd
288,Cold Water,Major Lazer
289,Thats What I Want,Lil Nas X
291,Sanguine Paradise,Lil Uzi Vert
292,Memories,Maroon 5
293,Gucci Gang,Lil Pump
294,Money Longer,Lil Uzi Vert
295,Let Me Love You,Dj Snake
296,Starving,Hailee Steinfeld
297,If The World Was Ending,Jp Saxe
298,Something Just Like This,The Chainsmokers
299,Favorite Crime,Olivia Rodrigo
300,Tennessee Whiskey,Chris Stapleton
301,I Get The Bag,Gucci Mane
302,Astronaut In The Ocean,Masked Wolf
303,Saturday Nights,Khalid
304,Best Part,H.E.R.
305,Chill Bill,Rob $Tone
306,223'S,Ynw Melly
307,Take Me To Church,Hozier
308,Beautiful People,Ed Sheeran
309,"Break Up With Your Girlfriend, I'M Bored",Ariana Grande
310,Magnolia,Playboi Carti
311,Space Song,Beach House
312,Z  Ni**As In Paris,Jay
313,This Is What You Came For,Calvin Harris
314,34+35,Ariana Grande
315,After Party,Don Toliver
317,Slide,Calvin Harris
318,Righteous,Juice Wrld
319,The Scotts,The Scotts
320,Without You,The Kid Laroi
321,Pick Up The Phone,Young Thug
323,"Can'T Stop The Feeling! (Original Song From Dreamworks Animation'S ""Trolls"")",Justin Timberlake
324,Stitches,Shawn Mendes
325,Dior,Pop Smoke
326,Ain'T Shit,Doja Cat
327,Calling My Phone,Lil Tjay
328,Attention,Charlie Puth
329,Nowadays,Lil Skies
330,You Right,Doja Cat
331,Portland,Drake
332,White Christmas,Bing Crosby
333,Late Night Talking,Harry Styles
334,King'S Dead,Jay Rock
335,Up,Cardi B
336,Mia,Bad Bunny
337,Let Me Go,Hailee Steinfeld
338,I Feel It Coming,The Weeknd
339,Cheap Thrills,Sia
340,Love Galore,Sza
341,7 Years,Lukas Graham
343,"I Hate U, I Love U",Gnash
344,Swang,Rae Sremmurd
345,The Christmas Song (Merry Christmas To You),Nat King Cole
346,Be Alright,Dean Lewis
348,Betrayed,Lil Xan
349,Ykwim?,Yot Club
350,Loyalty. Feat. Rihanna.,Kendrick Lamar
351,Dancing With A Stranger,Sam Smith
352,Get Into It (Yuh),Doja Cat
353,Motorsport,Migos
354,La Gaita  We Don'T Talk About Bruno,Carolina Gaitán
355,Falling,Harry Styles
356,Wild Thoughts,Dj Khaled
357,You Was Right,Lil Uzi Vert
358,Gold,Kiiara
359,Heartless,Kanye West
360,Forever After All,Luke Combs
361,Uptown Funk,Mark Ronson
362,Let It Snow! Let It Snow! Let It Snow!,Frank Sinatra
363,Lalala,Y2K
364,Faucet Failure,Ski Mask The Slump God
365,Where Are Ü Now,Jack Ü
366,My House,Flo Rida
367,July,Noah Cyrus
368,F.N,Lil Tjay
369,Popstar,Dj Khaled
370,Best Friend,Saweetie
371,Efecto,Bad Bunny
